delivery_date,price,product_link,title
,,https://www.amazon.ca/gp/bestsellers/electronics/677252011/ref=sr_bs_5_677252011_1,
December 7 - 9,$329.55,https://www.amazon.ca/Lenovo-ThinkPad-T470s-i5-6300U-14-inch/dp/B083BGCC1N/ref=sr_1_65?keywords=laptop&qid=1670191216&sr=8-65,"Lenovo ThinkPad T470s Laptop Intel Core i5-6300U, 12GB RAM, 256GB SSD, 14-inch LCD HDMI Port Windows 10 (Renewed)"
"Monday, December 12",$349.00,https://www.amazon.ca/VivoBook-Pentium%C2%AE-Microsoft-Personal-X515MA-AH09-CA/dp/B09HN325SY/ref=ice_ac_b_dpb?keywords=laptop&qid=1670191222&sr=8-7,"ASUS VivoBook 15 X515 Thin and Light Laptop, 15.6” HD Display,Intel® Pentium® Silver N5030,4GB RAM,128GB SSD,Windows 11 Home in S Mode + 1 Year Microsoft 365 Personal, X515MA-AH09-CA"
"Tuesday, December 13","$3,299.00",https://www.amazon.ca/Asus-Zephyrus-Gaming-Laptop-165Hz/dp/B09SK1TDJY/ref=sr_1_64?keywords=laptop&qid=1670191216&sr=8-64,"Asus ROG Zephyrus M16 (2022) Gaming Laptop, 16” 165Hz IPS Type WQXGA 16:10 Display, GeForce RTX 3070 Ti, Intel Core i9-12900H, 32GB DDR5, 1TB PCIe SSD, Thunderbolt 4, Windows 11 Pro, GU603ZW-XS91-CA"
"Tuesday, December 13","$1,449.99",https://www.amazon.ca/2022-Apple-MacBook-Laptop-chip/dp/B0B3C2R8MP/ref=sr_1_24_sspa?keywords=laptop&qid=1670191213&sr=8-24-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwMzg2NjAxMjNCODlWUjlaNUYxUCZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Grey; English"
"Tuesday, December 13","$1,449.99",https://www.amazon.ca/LG-gram-Inch-Laptop-17Z90Q-K-AR55A9/dp/B09YKH2MZR/ref=sr_1_23_sspa?keywords=laptop&qid=1670191213&sr=8-23-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwMjkxMDgzM1ZUWTNNSlJTREZQMCZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG gram 17 Inch Laptop with 16:10 WQXGA (2560 x 1600) IPS Anti-Glare Display, 17Z90Q-K.AR55A9, i5-1240P | 8GB RAM | 512GB SSD, Obsidian Black"
"Monday, December 12","$1,231.16",https://www.amazon.ca/Lenovo-Ideapad-Gaming-3i-Notebook/dp/B09R2CRR8L/ref=sr_1_63?keywords=laptop&qid=1670191216&sr=8-63,"Lenovo IdeaPad Gaming 3i 15.6” IPS 120Hz, FHD, Intel Core i7-12700H, 8GB RAM, 512 SSD, RTX3050Ti, Win 11 - 82S9006MCC"
"Wednesday, December 14",$769.99,https://www.amazon.ca/Gaming-IPS-Type-GeForce-Windows-FA706IHRB-AS51-CA/dp/B09VCQBSZ6/ref=sr_1_27?keywords=laptop&qid=1670191213&sr=8-27,"ASUS TUF Gaming A17 Gaming Laptop, 17.3” 144Hz Full HD IPS-Type, AMD Ryzen 5 4600H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FA706IHRB-AS51-CA"
"Tuesday, December 13",$369.99,https://www.amazon.ca/Acer-Celeron-A115-32-C8YB-Subscription-Microsoft/dp/B0BH4ZLJCF/ref=sr_1_20?keywords=laptop&qid=1670191213&sr=8-20,"Acer 15.6"" FHD Intel Celeron N4500 Laptop A115-32-C8YB, Includes 1-Year Subscription to Microsoft 365"
"Tuesday, December 13","$2,499.00",https://www.amazon.ca/Apple-MacBook-14-inch-8%E2%80%91core-14%E2%80%91core/dp/B09JQSLL92/ref=sr_1_22_sspa?keywords=laptop&qid=1670191213&sr=8-22-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwODM4NzU4M0ZUMENZVlZVTExXQyZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Grey - English"
"Monday, December 12","$1,299.00",https://www.amazon.ca/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5LNQCX/ref=sr_1_21_sspa?keywords=laptop&qid=1670191213&sr=8-21-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwODM5MzM4Mk9QWjRKSjRER0lZRSZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13""  Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray, English"
"Monday, December 12",$999.00,https://www.amazon.ca/IPS-Type-i5-12450H-GeForce-Thunderbolt-TUF517ZC-AS51-CA/dp/B09VCRGHL8/ref=sr_1_30?keywords=laptop&qid=1670191213&sr=8-30,"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6” 144Hz FHD IPS-Type, Intel Core i5-12450H, GeForce RTX 3050, 8GB DDR5, 512GB PCIe SSD, Thunderbolt 4, Windows 11 Home, TUF517ZC-AS51-CA"
"Monday, December 12",$699.99,https://www.amazon.ca/Acer-Nitro5-Laptop-i5-11400H-3200MHz/dp/B09SVD8KMX/ref=sr_1_18?keywords=laptop&qid=1670191222&sr=8-18,"Acer Nitro5 Laptop, 15.6"" FHD, Intel Core i5-11400H, 8GB DDR4 3200MHz, 256GB PCIe SSD - AN515-57-58HN"
